id,firstname,lastname,email,employee_type
1030,Brana,Baylor,Brana.Baylor@company.com,contractor
1031,Jenda,Vins,Jenda.Vins@company.com,full-time
1032,Trixi,Jehu,Trixi.Jehu@company.com,part-time
1033,Farrah,Couture,Farrah.Couture@company.com,part-time
1034,Dawn,Forrer,Dawn.Forrer@company.com,part-time
1035,Jenda,Florina,Jenda.Florina@company.com,part-time
1036,Nannie,Valerio,Nannie.Valerio@company.com,part-time
1037,Marinna,Ilka,Marinna.Ilka@company.com,full-time
1038,Sissy,Tyson,Sissy.Tyson@company.com,full-time
1039,Regina,Alejoa,Regina.Alejoa@company.com,contractor
1040,Delilah,Margarete,Delilah.Margarete@company.com,part-time
1041,Andree,Lareena,Andree.Lareena@company.com,contractor
1042,Allyce,Jerold,Allyce.Jerold@company.com,contractor
1043,Annaliese,Clie,Annaliese.Clie@company.com,contractor
1044,Ilse,Viddah,Ilse.Viddah@company.com,part-time
1045,Stevana,Abernon,Stevana.Abernon@company.com,full-time
1046,Nananne,Hermes,Nananne.Hermes@company.com,contractor
1047,Eugine,Tufts,Eugine.Tufts@company.com,full-time
1048,Oralee,Durante,Oralee.Durante@company.com,full-time
1049,Chandra,Codding,Chandra.Codding@company.com,full-time
1050,Vita,Reneta,Vita.Reneta@company.com,contractor
1051,Dagmar,Vary,Dagmar.Vary@company.com,part-time
1052,Gisela,Leffen,Gisela.Leffen@company.com,full-time
1053,Atlanta,Schenck,Atlanta.Schenck@company.com,full-time
1054,Harrietta,Palocz,Harrietta.Palocz@company.com,contractor
1055,Lita,Daveta,Lita.Daveta@company.com,part-time
1056,Fawne,Goode,Fawne.Goode@company.com,full-time
1057,Judy,Whiffen,Judy.Whiffen@company.com,contractor
1058,Wilma,Vharat,Wilma.Vharat@company.com,contractor
1059,Abbie,Khorma,Abbie.Khorma@company.com,part-time
1060,Daphne,Fax,Daphne.Fax@company.com,contractor
1061,Veda,Bevin,Veda.Bevin@company.com,part-time
1062,Ebonee,Kussell,Ebonee.Kussell@company.com,full-time
1063,Shaine,Rebecka,Shaine.Rebecka@company.com,full-time
1064,Meg,Hirsch,Meg.Hirsch@company.com,part-time
1065,Tressa,Secrest,Tressa.Secrest@company.com,part-time
1066,Kayla,Peti,Kayla.Peti@company.com,full-time
1067,Mamie,Annabella,Mamie.Annabella@company.com,part-time
1068,Phylis,Deny,Phylis.Deny@company.com,full-time
1069,Jinny,Karna,Jinny.Karna@company.com,part-time
1070,Myrtice,Earlie,Myrtice.Earlie@company.com,full-time
1071,Siana,Felecia,Siana.Felecia@company.com,full-time
1072,Kayla,Casimir,Kayla.Casimir@company.com
1073,Darlleen,Luhe,Darlleen.Luhe@company.com,part-time
1074,Roz,Mehalek,Roz.Mehalek@company.com,part-time
1075,Carol-Jean,Firmin,Carol-Jean.Firmin@company.com,part-time
1076,Angelique,Bibi,Angelique.Bibi@company.com,full-time
1077,Romona,Lilas,Romona.Lilas@company.com,full-time
1078,Arabel,Chaing,Arabel.Chaing@company.com,contractor
1079,Therine,Lia,Therine.Lia@company.com,full-time
1080,Celene,Karylin,Celene.Karylin@company.com,full-time
1081,Rosabelle,Helve,Rosabelle.Helve@company.com,contractor
1082,Adelle,Sadowski,Adelle.Sadowski@company.com,full-time
1083,Brana,Markman,Brana.Markman@company.com,part-time
1084,Beverley,Francyne,Beverley.Francyne@company.com,part-time
1085,Katharina,Delp,Katharina.Delp@company.com,part-time
1086,Joelly,Ummersen,Joelly.Ummersen@company.com,part-time
1087,Delilah,Chandler,Delilah.Chandler@company.com,contractor
1088,Misha,Linehan,Misha.Linehan@company.com,part-time
1089,Rebeca,Dreda,Rebeca.Dreda@company.com,part-time
1090,Emilia,Zetta,Emilia.Zetta@company.com,contractor
1091,Silvana,Jorgan,Silvana.Jorgan@company.com,part-time
1092,Silvana,Goldina,Silvana.Goldina@company.com,part-time
1093,Nataline,Belldas,Nataline.Belldas@company.com,part-time
1094,Ginnie,Kat,Ginnie.Kat@company.com,full-time
1095,Cristabel,Creamer,Cristabel.Creamer@company.com,part-time
1096,Hettie,Tiffa,Hettie.Tiffa@company.com,part-time
1097,Jaclyn,Rhu,Jaclyn.Rhu@company.com,full-time
1098,Dania,Henrie,Dania.Henrie@company.com,contractor
1099,Charlena,Gale,Charlena.Gale@company.com,full-time
